pH,EC,Total Hardness,Ca,Mg,Cl,SO4,NO3,F,Potable,WQI,WQI_Category
7.98,729.0,265.0,38.0,41.0,32.0,42.0,60.0,1.1,0,101.26659404502543,Poor
7.83,2344.0,760.0,273.0,19.0,312.0,227.0,55.0,0.38,0,199.3807310578553,Poor
7.91,826.0,255.0,86.0,10.0,103.0,62.0,15.0,0.56,0,76.33398692810458,Good
7.54,710.0,305.0,66.0,34.0,53.0,59.0,41.0,0.56,0,90.95804889857176,Good
7.78,582.0,150.0,40.0,12.0,25.0,20.0,24.0,0.38,1,55.90341321713871,Good
7.59,674.0,265.0,76.0,18.0,57.0,43.0,50.0,0.41,0,84.82384410554344,Good
7.63,689.0,320.0,74.0,33.0,35.0,38.0,28.0,0.42,0,83.7768094892278,Good
7.93,733.0,245.0,62.0,22.0,82.0,90.0,21.0,0.59,0,77.6427741466957,Good
7.3,8387.0,2680.0,533.0,328.0,1574.0,490.0,633.0,0.56,0,894.9740014524328,Unsuitable
7.45,1011.0,410.0,58.0,64.0,57.0,72.0,45.0,0.41,0,114.46521423384166,Poor
7.83,1311.0,480.0,122.0,43.0,113.0,82.0,33.0,0.28,0,123.28278867102397,Poor
7.83,713.0,295.0,68.0,30.0,53.0,55.0,27.0,0.65,0,84.74575163398693,Good
7.84,1723.0,450.0,98.0,50.0,156.0,58.0,11.0,0.49,0,124.75899297990802,Poor
7.67,470.0,170.0,58.0,6.0,32.0,28.0,18.0,0.45,1,53.49644153957879,Good
7.82,923.0,250.0,54.0,28.0,64.0,249.0,29.0,0.51,0,91.21316872427985,Good
7.33,1294.0,415.0,114.0,32.0,163.0,68.0,36.0,0.69,0,120.81619462599856,Poor
7.25,1866.0,545.0,178.0,24.0,344.0,100.0,31.0,0.53,0,151.12590171871216,Poor
7.49,1423.0,415.0,74.0,56.0,131.0,50.0,65.0,1.05,0,141.86756233357542,Poor
7.15,1443.0,505.0,180.0,13.0,206.0,93.0,117.0,0.68,0,167.48896151053015,Poor
7.89,908.0,275.0,56.0,33.0,57.0,48.0,8.0,1.26,0,87.40626966836118,Good
6.95,1336.0,555.0,214.0,5.0,160.0,78.0,50.0,0.39,0,136.45376422173808,Poor
7.47,989.0,310.0,88.0,22.0,82.0,63.0,11.0,0.66,0,86.77482449770031,Good
7.28,2079.0,615.0,68.0,108.0,291.0,64.0,100.0,1.51,0,212.70513192931492,Very Poor
7.3,1894.0,555.0,160.0,38.0,262.0,66.0,118.0,0.68,0,188.90033890099252,Poor
7.44,2422.0,600.0,140.0,61.0,372.0,94.0,28.0,0.94,0,180.5840716533527,Poor
7.42,941.0,295.0,84.0,21.0,57.0,50.0,37.0,0.52,0,91.49874122488501,Good
7.36,2320.0,610.0,118.0,77.0,255.0,102.0,143.0,0.72,0,222.6567417090293,Very Poor
7.23,1735.0,465.0,162.0,15.0,230.0,89.0,28.0,0.76,0,135.54550956184946,Poor
7.31,1684.0,480.0,162.0,18.0,213.0,94.0,94.0,0.43,0,159.06831275720165,Poor
7.42,1435.0,320.0,72.0,34.0,110.0,83.0,90.0,0.53,0,132.84894698620187,Poor
7.53,1169.0,410.0,124.0,24.0,138.0,47.0,31.0,0.75,0,113.30941660614863,Poor
7.63,1005.0,295.0,62.0,34.0,64.0,44.0,5.0,0.83,0,85.4611716291455,Good
7.39,205.0,90.0,32.0,2.0,18.0,6.0,1.0,0.32,1,27.100992495763734,Excellent
7.3,1057.0,285.0,90.0,15.0,138.0,41.0,67.0,0.42,0,105.54725248123941,Poor
7.08,712.0,190.0,64.0,7.0,74.0,30.0,45.0,0.37,1,72.76993464052288,Good
7.55,986.0,285.0,86.0,17.0,121.0,33.0,21.0,1.06,0,92.3313725490196,Good
7.16,606.0,250.0,78.0,13.0,28.0,8.0,6.0,0.63,0,62.834713144517075,Good
7.52,766.0,300.0,74.0,28.0,57.0,13.0,31.0,0.64,0,86.2957637375938,Good
7.53,511.0,170.0,62.0,4.0,43.0,17.0,17.0,0.53,1,54.733284918905845,Good
7.48,750.0,255.0,82.0,12.0,43.0,25.0,13.0,1.15,0,77.54362139917696,Good
7.45,1984.0,300.0,74.0,28.0,312.0,64.0,12.0,1.53,0,128.92200435729848,Poor
7.73,1518.0,280.0,68.0,27.0,145.0,37.0,5.0,1.52,0,106.33720648753331,Poor
7.62,792.0,200.0,50.0,18.0,35.0,10.0,5.0,2.3,0,83.24134592108449,Good
7.32,1203.0,405.0,122.0,24.0,138.0,60.0,27.0,0.56,0,109.88155410312272,Poor
7.34,658.0,300.0,40.0,49.0,99.0,32.0,22.0,0.55,0,83.3463083999032,Good
7.39,1677.0,555.0,142.0,49.0,174.0,70.0,139.0,1.1,0,196.3960542241588,Poor
7.4,1540.0,475.0,52.0,84.0,188.0,110.0,104.0,0.61,0,169.6508593560881,Poor
7.68,906.0,255.0,24.0,47.0,35.0,41.0,75.0,1.32,0,113.90885984023238,Poor
7.54,653.0,305.0,98.0,15.0,18.0,20.0,76.0,0.68,0,100.65763737593804,Poor
7.35,840.0,380.0,128.0,15.0,67.0,67.0,82.0,0.67,0,119.25872670055676,Poor
7.35,899.0,395.0,90.0,41.0,64.0,45.0,101.0,0.73,0,133.20481723553618,Poor
7.37,918.0,345.0,114.0,15.0,71.0,19.0,53.0,0.47,0,101.12101186153474,Poor
7.57,1449.0,505.0,190.0,7.0,152.0,64.0,68.0,0.87,0,146.76937787460662,Poor
7.63,671.0,190.0,36.0,24.0,85.0,46.0,66.0,1.26,0,94.93318809005083,Good
7.7,754.0,200.0,62.0,11.0,28.0,38.0,80.0,1.22,0,99.91847010409101,Good
7.8,1022.0,170.0,26.0,26.0,46.0,59.0,59.0,1.36,0,99.5759864439603,Good
7.59,1630.0,525.0,26.0,112.0,149.0,100.0,151.0,1.05,0,204.58269184216894,Very Poor
7.56,778.0,320.0,98.0,18.0,35.0,70.0,51.0,0.96,0,101.23021060275961,Poor
7.58,1773.0,700.0,116.0,100.0,312.0,150.0,64.0,0.81,0,194.6320019365771,Poor
7.49,567.0,265.0,64.0,26.0,35.0,25.0,67.0,0.91,0,95.13011377390464,Good
7.47,875.0,410.0,98.0,40.0,46.0,29.0,173.0,0.79,0,163.6093923989349,Poor
7.51,1074.0,435.0,134.0,24.0,96.0,48.0,64.0,0.46,0,122.60927136286612,Poor
7.67,737.0,355.0,16.0,77.0,18.0,72.0,16.0,0.28,0,88.73389009924958,Good
7.58,880.0,290.0,46.0,43.0,39.0,22.0,40.0,0.43,0,90.92582909707095,Good
7.71,820.0,340.0,64.0,44.0,53.0,57.0,64.0,0.3,0,105.35516824013555,Poor
7.55,1042.0,415.0,102.0,39.0,67.0,59.0,78.0,1.05,0,134.15112563543937,Poor
7.76,791.0,330.0,16.0,70.0,53.0,42.0,6.0,0.41,0,83.57981118373274,Good
7.64,985.0,310.0,22.0,62.0,71.0,45.0,57.0,0.64,0,109.55177923021063,Poor
7.44,792.0,325.0,116.0,9.0,35.0,57.0,52.0,1.09,0,102.61740498668604,Poor
7.62,1007.0,425.0,24.0,89.0,121.0,46.0,47.0,0.35,0,120.58579036552892,Poor
7.78,1243.0,450.0,30.0,91.0,71.0,112.0,44.0,0.41,0,130.040038731542,Poor
7.69,1083.0,450.0,26.0,94.0,96.0,33.0,9.0,0.96,0,116.73115468409587,Poor
7.69,948.0,235.0,74.0,12.0,28.0,33.0,72.0,1.2,0,105.0681917211329,Poor
7.72,2048.0,380.0,58.0,57.0,181.0,52.0,121.0,1.2,0,180.0083272815299,Poor
7.53,731.0,335.0,90.0,27.0,60.0,27.0,172.0,0.42,0,145.30077463083998,Poor
7.48,1168.0,485.0,140.0,33.0,85.0,40.0,92.0,1.02,0,149.71810699588477,Poor
7.5,528.0,230.0,68.0,15.0,21.0,22.0,1.0,0.72,0,58.71784071653352,Good
7.54,823.0,400.0,28.0,80.0,57.0,70.0,71.0,0.51,0,122.6876785282014,Poor
7.54,822.0,375.0,58.0,56.0,60.0,60.0,45.0,0.53,0,106.09549745824255,Poor
7.58,956.0,365.0,90.0,34.0,82.0,76.0,41.0,0.89,0,109.51883321229725,Poor
7.6,781.0,320.0,84.0,27.0,25.0,52.0,30.0,1.11,0,94.84531590413944,Good
7.54,1630.0,445.0,150.0,17.0,269.0,70.0,45.0,0.72,0,138.02883079157587,Poor
7.49,1827.0,540.0,64.0,92.0,252.0,170.0,125.0,0.84,0,200.7675623335754,Very Poor
7.14,2555.0,1045.0,224.0,118.0,436.0,233.0,190.0,0.46,0,309.6695473251029,Unsuitable
8.2,628.0,85.0,20.0,9.0,135.0,69.0,1.0,0.96,1,52.48959089808763,Good
7.4,1053.0,415.0,128.0,23.0,128.0,64.0,94.0,0.87,0,138.5726700556766,Poor
7.38,2109.0,795.0,224.0,57.0,269.0,164.0,201.0,0.62,0,261.3832244008715,Very Poor
7.56,883.0,340.0,104.0,19.0,64.0,42.0,43.0,0.57,0,97.90839990317114,Good
8.12,1173.0,285.0,44.0,43.0,124.0,62.0,26.0,0.56,0,97.90053255870247,Good
7.72,910.0,370.0,30.0,72.0,85.0,48.0,37.0,0.76,0,109.76882110869039,Poor
7.56,1214.0,515.0,22.0,112.0,110.0,84.0,141.0,0.76,0,183.6931735657226,Poor
7.84,645.0,105.0,16.0,16.0,89.0,32.0,15.0,1.35,1,63.54952795933189,Good
7.45,1420.0,305.0,12.0,67.0,71.0,45.0,24.0,1.1,0,112.31830065359476,Poor
7.79,984.0,425.0,30.0,85.0,117.0,29.0,36.0,0.79,0,119.73064633260712,Poor
7.74,1312.0,305.0,62.0,36.0,230.0,105.0,30.0,3.01,0,138.81299927378356,Poor
7.57,865.0,380.0,40.0,68.0,39.0,10.0,17.0,0.51,0,94.99530380053255,Good
7.59,1281.0,290.0,96.0,12.0,199.0,86.0,63.0,1.04,0,120.86870007262162,Poor
8.92,2172.0,170.0,12.0,34.0,195.0,46.0,128.0,1.44,0,163.15202130234812,Poor
7.47,2310.0,835.0,94.0,146.0,248.0,148.0,201.0,0.49,0,279.5307915758896,Very Poor
7.58,824.0,390.0,20.0,83.0,25.0,45.0,90.0,0.41,0,126.82788671023965,Poor
7.56,1353.0,485.0,32.0,98.0,152.0,70.0,136.0,0.57,0,178.07753570564026,Poor
7.75,1000.0,375.0,68.0,50.0,82.0,56.0,39.0,0.74,0,110.55998547567175,Poor
7.61,988.0,315.0,46.0,49.0,43.0,64.0,24.0,0.52,0,93.43057371096586,Good
7.56,553.0,225.0,50.0,24.0,25.0,26.0,22.0,0.43,0,65.10469619946743,Good
7.58,1112.0,255.0,74.0,17.0,167.0,63.0,32.0,1.22,0,101.00031469377873,Poor
7.94,343.0,180.0,36.0,22.0,11.0,15.0,1.0,0.25,1,43.24943113047688,Excellent
7.86,1475.0,260.0,40.0,39.0,110.0,41.0,3.0,0.75,0,93.35584604212055,Good
7.68,898.0,410.0,66.0,60.0,78.0,42.0,53.0,0.21,0,111.91338658920358,Poor
7.74,2188.0,495.0,36.0,98.0,234.0,220.0,35.0,0.89,0,170.3718470104091,Poor
7.77,3018.0,430.0,58.0,69.0,301.0,280.0,26.0,0.68,0,177.71033648027114,Poor
7.51,2766.0,505.0,16.0,113.0,482.0,150.0,8.0,0.49,0,176.29733720648753,Poor
7.52,982.0,405.0,26.0,83.0,135.0,62.0,44.0,0.49,0,118.34555797627694,Poor
7.48,989.0,465.0,34.0,92.0,71.0,85.0,52.0,0.62,0,130.18806584362142,Poor
7.57,790.0,260.0,50.0,33.0,106.0,60.0,37.0,0.57,0,87.80353425320745,Good
7.69,581.0,200.0,44.0,22.0,50.0,45.0,6.0,0.98,1,64.54103122730575,Good
7.39,763.0,375.0,124.0,16.0,35.0,41.0,45.0,0.4,0,96.42156862745098,Good
7.93,1141.0,325.0,98.0,19.0,92.0,48.0,54.0,0.23,0,104.26005809731299,Poor
7.64,1020.0,270.0,54.0,33.0,128.0,56.0,6.0,0.91,0,86.63572984749456,Good
7.75,2572.0,365.0,108.0,23.0,262.0,220.0,118.0,1.47,0,197.67521181312028,Poor
7.4,1068.0,210.0,58.0,16.0,78.0,73.0,38.0,0.87,0,90.39777293633503,Good
7.82,1880.0,310.0,82.0,26.0,170.0,89.0,57.0,0.79,0,133.77777777777777,Poor
7.71,1597.0,460.0,126.0,35.0,163.0,101.0,79.0,1.02,0,157.00948922778989,Poor
7.56,965.0,315.0,90.0,22.0,92.0,54.0,18.0,0.77,0,91.0363834422658,Good
7.54,2305.0,830.0,108.0,136.0,369.0,146.0,49.0,0.8,0,222.34776083272814,Very Poor
7.61,679.0,260.0,66.0,23.0,18.0,15.0,13.0,0.49,0,68.62604696199467,Good
7.84,1290.0,280.0,44.0,41.0,99.0,3.0,8.0,1.27,0,97.958992979908,Good
7.45,766.0,230.0,66.0,16.0,50.0,41.0,3.0,0.4,0,63.06027596223674,Good
7.63,1542.0,480.0,84.0,66.0,89.0,18.0,9.0,1.61,0,135.16281771968045,Poor
7.73,936.0,345.0,98.0,24.0,53.0,51.0,39.0,0.94,0,103.53514887436457,Poor
7.58,530.0,185.0,60.0,9.0,46.0,28.0,38.0,0.23,1,63.069450496247875,Good
7.69,972.0,370.0,68.0,49.0,96.0,66.0,11.0,0.79,0,99.04802711207941,Good
7.54,1050.0,320.0,98.0,18.0,71.0,82.0,5.0,0.66,0,86.80619704671992,Good
7.87,1704.0,595.0,78.0,97.0,177.0,52.0,36.0,1.24,0,166.76332607116922,Poor
7.67,1536.0,420.0,66.0,62.0,184.0,42.0,3.0,1.51,0,127.56804647785039,Poor
7.29,7648.0,1085.0,180.0,154.0,2084.0,460.0,9.0,0.38,0,426.35417574437184,Unsuitable
7.38,1308.0,460.0,138.0,28.0,199.0,65.0,61.0,0.43,0,133.81326555313484,Poor
7.2,4309.0,795.0,206.0,68.0,1035.0,168.0,8.0,0.68,0,261.1160735899298,Very Poor
8.04,803.0,335.0,44.0,55.0,50.0,60.0,44.0,1.31,0,110.31723553618977,Poor
7.77,1634.0,330.0,94.0,23.0,128.0,91.0,115.0,0.45,0,147.93832001936576,Poor
7.52,467.0,215.0,64.0,13.0,7.0,14.0,8.0,0.37,0,52.910990075042356,Good
7.6,2989.0,495.0,84.0,69.0,298.0,127.0,84.0,1.2,0,208.84161220043572,Very Poor
7.75,1474.0,530.0,84.0,78.0,135.0,72.0,59.0,1.19,0,159.56451222464295,Poor
7.54,1620.0,515.0,132.0,45.0,255.0,71.0,4.0,0.61,0,130.76627935124668,Poor
7.17,1419.0,505.0,106.0,58.0,142.0,94.0,44.0,0.57,0,139.35906560154925,Poor
7.53,2495.0,645.0,100.0,96.0,468.0,126.0,12.0,0.78,0,187.4719680464778,Poor
7.9,1300.0,325.0,60.0,43.0,110.0,51.0,5.0,2.09,0,114.86189784555798,Poor
7.65,1367.0,380.0,108.0,27.0,149.0,70.0,4.0,1.15,0,110.38189300411523,Poor
7.39,1844.0,480.0,118.0,45.0,255.0,114.0,100.0,0.42,0,170.90099249576375,Poor
7.53,1107.0,355.0,74.0,41.0,142.0,61.0,26.0,0.98,0,109.03081578310334,Poor
7.54,692.0,280.0,72.0,24.0,14.0,14.0,12.0,0.73,0,73.65228758169934,Good
7.78,683.0,255.0,58.0,27.0,35.0,30.0,30.0,0.65,0,78.92193173565722,Good
7.73,955.0,360.0,80.0,39.0,128.0,48.0,31.0,0.58,0,102.10099249576375,Poor
7.39,1082.0,325.0,82.0,29.0,106.0,39.0,65.0,0.47,0,111.23720648753327,Poor
7.75,1765.0,675.0,86.0,112.0,184.0,44.0,5.0,1.51,0,169.83735173081575,Poor
7.63,2072.0,370.0,76.0,44.0,213.0,97.0,85.0,1.3,0,166.85335269910433,Poor
7.71,814.0,280.0,84.0,17.0,21.0,29.0,11.0,1.4,0,84.62101186153474,Good
7.74,1066.0,385.0,104.0,30.0,106.0,45.0,7.0,0.62,0,96.31587993221981,Good
7.69,1647.0,485.0,76.0,72.0,206.0,62.0,22.0,2.12,0,155.86489954006296,Poor
8.07,3029.0,310.0,40.0,51.0,355.0,115.0,111.0,4.4,0,238.63761801016702,Very Poor
7.38,835.0,275.0,58.0,32.0,82.0,32.0,80.0,0.42,0,104.4926894214476,Poor
7.59,1448.0,420.0,100.0,41.0,227.0,40.0,25.0,0.54,0,120.86293875574921,Poor
7.65,337.0,145.0,40.0,11.0,11.0,12.0,5.0,0.38,1,40.562551440329216,Excellent
7.93,1000.0,245.0,44.0,33.0,74.0,31.0,11.0,2.05,0,97.13001694504962,Good
7.28,2008.0,655.0,148.0,69.0,305.0,88.0,80.0,0.63,0,192.79072863713387,Poor
7.76,983.0,290.0,72.0,27.0,82.0,44.0,5.0,0.94,0,85.53372064875333,Good
7.92,2108.0,285.0,72.0,26.0,191.0,148.0,90.0,1.21,0,158.1970225127088,Poor
7.59,1318.0,425.0,104.0,40.0,113.0,62.0,90.0,0.49,0,141.72178649237475,Poor
7.73,795.0,195.0,54.0,15.0,43.0,53.0,3.0,0.97,1,67.20181554103122,Good
7.74,1884.0,375.0,78.0,44.0,149.0,212.0,49.0,1.51,0,153.02205277172595,Poor
8.01,1939.0,275.0,68.0,26.0,128.0,200.0,9.0,1.58,0,124.24829339143064,Poor
7.35,1356.0,425.0,108.0,38.0,135.0,59.0,55.0,1.02,0,134.98341805858146,Poor
7.67,1479.0,220.0,28.0,36.0,121.0,71.0,94.0,0.37,0,122.37216170418787,Poor
7.61,2321.0,495.0,90.0,66.0,482.0,216.0,48.0,0.31,0,175.07995642701522,Poor
7.71,1669.0,460.0,58.0,77.0,195.0,76.0,129.0,0.65,0,180.29920116194629,Poor
7.9,780.0,155.0,30.0,19.0,89.0,46.0,22.0,0.51,1,65.92691842168966,Good
7.57,1554.0,240.0,28.0,41.0,131.0,78.0,71.0,0.09,0,114.73357540547083,Poor
7.73,428.0,195.0,44.0,21.0,32.0,21.0,21.0,0.31,1,56.62897603485838,Good
7.84,1074.0,375.0,84.0,40.0,106.0,96.0,164.0,0.46,0,161.30837569595738,Poor
7.76,635.0,210.0,30.0,33.0,71.0,26.0,15.0,0.49,0,66.06376180101671,Good
7.78,2540.0,640.0,46.0,128.0,489.0,93.0,191.0,0.48,0,261.7338658920358,Very Poor
7.76,2754.0,865.0,90.0,156.0,674.0,75.0,150.0,0.37,0,282.9736383442266,Very Poor
7.65,1251.0,210.0,28.0,34.0,106.0,58.0,19.0,0.67,0,87.34238683127572,Good
7.57,2047.0,495.0,64.0,81.0,305.0,88.0,176.0,0.33,0,212.91999515855727,Very Poor
7.75,621.0,195.0,18.0,36.0,39.0,33.0,56.0,0.47,0,80.14599370612441,Good
7.35,356.0,160.0,46.0,11.0,21.0,17.0,8.0,0.14,1,41.245557976276935,Excellent
7.61,802.0,295.0,62.0,34.0,89.0,75.0,73.0,0.32,0,104.00752844347616,Poor
7.7,1063.0,280.0,38.0,45.0,156.0,31.0,61.0,0.46,0,107.36126845800051,Poor
7.48,1448.0,415.0,62.0,63.0,163.0,71.0,214.0,0.43,0,198.67942386831274,Poor
7.6,857.0,235.0,38.0,34.0,89.0,50.0,90.0,0.47,0,106.38976034858386,Poor
7.54,738.0,210.0,26.0,35.0,46.0,45.0,69.0,0.6,0,92.10660856935367,Good
7.61,842.0,290.0,36.0,49.0,89.0,42.0,29.0,0.44,0,88.57337206487534,Good
7.82,559.0,180.0,30.0,26.0,35.0,37.0,32.0,0.56,1,67.18106995884774,Good
7.58,492.0,210.0,40.0,27.0,39.0,28.0,32.0,0.51,0,68.00401839748245,Good
7.62,1731.0,370.0,26.0,74.0,191.0,75.0,108.0,1.18,0,168.6454611474219,Poor
7.6,1814.0,505.0,58.0,87.0,273.0,91.0,125.0,0.31,0,187.01033648027112,Poor
7.55,2839.0,695.0,64.0,130.0,468.0,107.0,252.0,0.59,0,301.7363108206245,Unsuitable
7.75,1598.0,265.0,16.0,55.0,174.0,70.0,92.0,0.47,0,135.0842653110627,Poor
7.75,683.0,230.0,30.0,38.0,25.0,22.0,12.0,0.29,0,64.98838053740015,Good
7.51,663.0,195.0,32.0,28.0,96.0,47.0,11.0,0.31,1,61.79857177438876,Good
7.76,746.0,240.0,40.0,34.0,92.0,71.0,17.0,0.44,0,74.81767126603728,Good
7.66,1091.0,365.0,38.0,66.0,110.0,32.0,109.0,0.45,0,138.82147179859598,Poor
7.34,890.0,270.0,60.0,29.0,121.0,57.0,60.0,0.34,0,97.58663761801016,Good
7.69,900.0,350.0,80.0,36.0,57.0,30.0,78.0,0.63,0,116.22992011619462,Poor
7.73,1858.0,485.0,24.0,103.0,227.0,80.0,120.0,0.41,0,185.3944081336238,Poor
7.83,993.0,350.0,52.0,53.0,145.0,57.0,23.0,0.71,0,102.75768579036551,Poor
7.68,865.0,285.0,42.0,44.0,99.0,42.0,38.0,0.36,0,90.97388041636407,Good
7.68,841.0,295.0,46.0,44.0,99.0,44.0,82.0,0.45,0,110.82161704187847,Poor
7.73,1540.0,295.0,58.0,36.0,99.0,85.0,45.0,2.61,0,139.89811183732752,Poor
7.49,754.0,235.0,82.0,7.0,78.0,45.0,36.0,0.89,0,82.72106027596224,Good
7.63,1147.0,530.0,54.0,96.0,74.0,97.0,83.0,0.84,0,158.28215928346643,Poor
7.51,1262.0,570.0,64.0,100.0,78.0,81.0,88.0,0.89,0,168.40309852335997,Poor
7.69,1091.0,455.0,48.0,81.0,50.0,43.0,43.0,1.24,0,132.10687484870493,Poor
7.52,1062.0,445.0,54.0,75.0,57.0,46.0,46.0,0.82,0,125.72168966351973,Poor
7.63,938.0,395.0,36.0,74.0,82.0,78.0,67.0,0.58,0,124.54594529169692,Poor
7.34,589.0,240.0,44.0,32.0,53.0,47.0,36.0,0.38,0,75.46071169208425,Good
7.56,582.0,220.0,56.0,19.0,67.0,41.0,31.0,0.5,0,70.94790607601064,Good
7.45,1223.0,305.0,74.0,29.0,142.0,66.0,80.0,0.52,0,121.3314693778746,Poor
7.59,1610.0,510.0,58.0,89.0,255.0,94.0,84.0,0.58,0,169.0217864923747,Poor
7.43,1042.0,390.0,94.0,38.0,163.0,64.0,46.0,0.52,0,114.41980150084727,Poor
7.27,1529.0,450.0,126.0,33.0,206.0,87.0,173.0,0.45,0,186.05238441055437,Poor
7.62,440.0,170.0,54.0,9.0,39.0,6.0,17.0,0.54,1,53.32282740256596,Good
7.64,711.0,305.0,68.0,33.0,92.0,45.0,29.0,0.55,0,86.57112079399661,Good
7.56,727.0,255.0,80.0,13.0,85.0,42.0,17.0,0.69,0,74.96066327765674,Good
7.63,519.0,245.0,42.0,34.0,35.0,19.0,11.0,0.59,0,65.44141854272573,Good
7.37,1291.0,405.0,70.0,56.0,160.0,116.0,42.0,0.66,0,126.3794480755265,Poor
7.47,1648.0,655.0,152.0,67.0,181.0,169.0,199.0,0.53,0,230.981820382474,Very Poor
7.67,970.0,285.0,42.0,44.0,32.0,25.0,8.0,2.58,0,106.00467199225369,Poor
7.91,2189.0,545.0,52.0,101.0,238.0,181.0,73.0,1.88,0,203.33810215444203,Very Poor
7.75,1670.0,355.0,54.0,53.0,177.0,98.0,41.0,0.41,0,126.14846284192689,Poor
7.71,510.0,235.0,46.0,29.0,28.0,19.0,5.0,0.88,0,64.37780198499154,Good
7.5,678.0,245.0,50.0,29.0,85.0,42.0,1.0,0.48,0,65.44747034616316,Good
7.52,1408.0,230.0,70.0,13.0,163.0,68.0,7.0,1.02,0,92.10317114500121,Good
7.31,538.0,230.0,70.0,13.0,71.0,18.0,5.0,0.37,0,57.01316872427983,Good
7.54,490.0,170.0,60.0,5.0,64.0,10.0,3.0,0.38,1,47.047349310094404,Excellent
7.38,798.0,250.0,92.0,5.0,110.0,27.0,64.0,0.4,0,91.04042604696198,Good
7.54,660.0,290.0,68.0,29.0,39.0,26.0,46.0,0.53,0,87.3847978697652,Good
7.34,734.0,290.0,98.0,11.0,106.0,57.0,90.0,0.43,0,106.82120551924474,Poor
7.03,1374.0,440.0,168.0,5.0,199.0,116.0,92.0,0.46,0,144.9691600096829,Poor
7.36,984.0,245.0,46.0,32.0,96.0,66.0,153.0,0.46,0,136.91888162672478,Poor
7.57,2264.0,515.0,56.0,91.0,351.0,126.0,76.0,0.76,0,188.8343984507383,Poor
6.48,243.0,160.0,40.0,15.0,39.0,15.0,37.0,0.24,0,51.917840716533526,Good
6.82,101.0,75.0,24.0,4.0,14.0,0.0,3.0,0.18,1,21.512490922294845,Excellent
7.1,684.0,275.0,56.0,33.0,53.0,36.0,44.0,0.3,0,83.5869523117889,Good
7.54,1594.0,485.0,168.0,16.0,220.0,137.0,79.0,0.92,0,159.1489954006294,Poor
7.22,1579.0,480.0,56.0,83.0,277.0,51.0,1.0,0.75,0,130.75037521181312,Poor
7.38,898.0,245.0,24.0,45.0,138.0,39.0,2.0,0.39,0,73.60873880416364,Good
7.28,2067.0,580.0,70.0,98.0,294.0,74.0,141.0,1.46,0,223.77138707334782,Very Poor
7.45,694.0,310.0,42.0,50.0,25.0,46.0,7.0,0.48,0,76.84216896635198,Good
7.34,1338.0,410.0,34.0,79.0,145.0,53.0,86.0,0.72,0,147.0467199225369,Poor
7.93,689.0,165.0,26.0,24.0,67.0,42.0,55.0,0.44,0,77.43701282982329,Good
7.33,563.0,200.0,54.0,16.0,28.0,21.0,3.0,1.42,1,65.69891067538127,Good
6.88,205.0,60.0,10.0,9.0,28.0,9.0,19.0,0.28,1,31.644202372306946,Excellent
8.1,764.0,235.0,24.0,43.0,78.0,64.0,40.0,0.4,0,84.540716533527,Good
7.02,1862.0,410.0,70.0,57.0,259.0,66.0,142.0,1.26,0,190.46250302590173,Poor
7.19,1217.0,425.0,52.0,72.0,181.0,56.0,85.0,0.43,0,142.02176228516097,Poor
7.19,1198.0,240.0,38.0,35.0,160.0,65.0,60.0,0.53,0,106.15468409586055,Poor
7.15,854.0,260.0,26.0,47.0,89.0,31.0,23.0,0.94,0,87.87620430888404,Good
7.1,1181.0,325.0,26.0,63.0,142.0,52.0,37.0,1.45,0,119.84950375211811,Poor
7.01,1100.0,250.0,20.0,49.0,145.0,66.0,84.0,0.37,0,114.14596949891067,Poor
7.35,1885.0,395.0,42.0,70.0,199.0,76.0,130.0,0.98,0,181.3488501573469,Poor
7.41,1093.0,380.0,80.0,44.0,142.0,48.0,67.0,0.64,0,124.16286613410796,Poor
7.44,1212.0,415.0,64.0,62.0,160.0,65.0,58.0,0.67,0,131.19765190026627,Poor
7.28,2135.0,550.0,72.0,90.0,319.0,308.0,36.0,0.53,0,175.8331154684096,Poor
7.23,816.0,355.0,48.0,57.0,71.0,44.0,44.0,0.46,0,101.91258775114984,Poor
7.09,902.0,375.0,60.0,55.0,50.0,56.0,40.0,0.42,0,103.74449285887194,Poor
6.92,779.0,335.0,46.0,53.0,57.0,54.0,11.0,0.3,0,82.23996610990076,Good
7.19,1123.0,350.0,48.0,56.0,131.0,161.0,5.0,0.56,0,100.10612442507869,Poor
7.59,951.0,240.0,28.0,41.0,74.0,55.0,41.0,0.72,0,92.75347373517307,Good
7.07,850.0,375.0,58.0,56.0,53.0,56.0,61.0,0.44,0,111.49496489954007,Poor
7.23,1072.0,290.0,38.0,47.0,156.0,70.0,33.0,0.54,0,99.37966594045025,Good
7.09,1292.0,425.0,60.0,67.0,170.0,161.0,36.0,0.56,0,128.1230936819172,Poor
7.33,897.0,365.0,54.0,56.0,74.0,56.0,51.0,0.48,0,108.73471314451706,Poor
7.53,1345.0,355.0,38.0,63.0,106.0,70.0,44.0,0.86,0,122.91476640038731,Poor
7.4,702.0,275.0,30.0,49.0,35.0,39.0,35.0,0.51,0,84.83357540547082,Good
7.02,1373.0,420.0,88.0,49.0,110.0,64.0,74.0,0.2,0,133.0888404744614,Poor
7.54,1103.0,390.0,40.0,70.0,92.0,59.0,16.0,1.6,0,118.57245219075286,Poor
